index,company,wheel-base,min-man normalization,z-score,length,min-man normalization,z-score,horsepower,min-man normalization,z-score,average-mileage,min-man normalization,z-score,price,min-man normalization,z-score
15,bmw,110.0,0.3544010088272387,1.7387651675925893,197.0,0.3567408857352568,1.7187463533232084,182,0.308948087431694,1.3968000826815028,15,-0.3177434908389585,-1.3398737838803854,36880.0,0.5340008447414842,1.915213577971812
16,chevrolet,88.4,-0.31021437578814576,-1.5219763422565322,141.1,-0.4775874724736985,-2.3009746276074026,48,-0.24938524590163932,-1.1275076502034416,47,0.6234329797492768,2.6289177580536243,5151.0,-0.2543168774379488,-0.9121167907746461
17,chevrolet,94.5,-0.12252206809583824,-0.6011187862343272,155.9,-0.2566919500856386,-1.2367193410640558,70,-0.15771857923497265,-0.7130690671924805,38,0.3587270973963356,1.5126951368846842,6295.0,-0.2258938110263609,-0.8101764225989725
18,chevrolet,94.5,-0.12252206809583824,-0.6011187862343272,158.8,-0.21340836799608628,-1.0281828322143456,70,-0.15771857923497265,-0.7130690671924805,38,0.3587270973963356,1.5126951368846842,6575.0,-0.21893711645009814,-0.7852259828356957
19,dodge,93.7,-0.14713745271122278,-0.7218869903028128,157.3,-0.23579642769757883,-1.1360465436883334,68,-0.166051912568306,-0.7507453020116588,31,0.15284474445515914,0.6445219870866196,6377.0,-0.2238564933290268,-0.80286950809687
20,dodge,93.7,-0.14713745271122278,-0.7218869903028128,157.3,-0.23579642769757883,-1.1360465436883334,68,-0.166051912568306,-0.7507453020116588,31,0.15284474445515914,0.6445219870866196,6229.0,-0.2275336033193371,-0.8160575976860306
27,honda,96.5,-0.0609836065573767,-0.2991982760631122,157.1,-0.23878150232444476,-1.1504283718848662,76,-0.13271857923497266,-0.6000403627349458,30,0.12343297974927679,0.5204972514011817,7295.0,-0.2010484732539939,-0.7210677091586983
28,honda,96.5,-0.0609836065573767,-0.2991982760631122,175.4,0.034352826033764376,0.16550890809778515,101,-0.028551912568305995,-0.12908742749521732,24,-0.053037608486017324,-0.22365116271144508,12945.0,-0.06067231484012025,-0.21760347822114945
29,honda,96.5,-0.0609836065573767,-0.2991982760631122,169.1,-0.05967702471250445,-0.2875186800929642,100,-0.032718579234972664,-0.14792554490480644,25,-0.02362584378013497,-0.09962642702600728,10345.0,-0.1252701930482745,-0.4492861331658622
30,isuzu,94.3,-0.12867591424968447,-0.6313108372514492,170.7,-0.03579642769757916,-0.17246405452071104,78,-0.12438524590163932,-0.5623641279157675,24,-0.053037608486017324,-0.22365116271144508,6785.0,-0.21371959551790107,-0.7665131530132382
31,isuzu,94.5,-0.12252206809583824,-0.6011187862343272,155.9,-0.2566919500856386,-1.2367193410640558,70,-0.15771857923497265,-0.7130690671924805,38,0.3587270973963356,1.5126951368846842,,,
32,isuzu,94.5,-0.12252206809583824,-0.6011187862343272,155.9,-0.2566919500856386,-1.2367193410640558,70,-0.15771857923497265,-0.7130690671924805,38,0.3587270973963356,1.5126951368846842,,,
33,jaguar,113.0,0.446708701134931,2.191645932849412,199.6,0.3955468558845105,1.9057101198781201,176,0.28394808743169403,1.283771378223968,15,-0.3177434908389585,-1.3398737838803854,32250.0,0.41896693085542497,1.5026402347433427
34,jaguar,113.0,0.446708701134931,2.191645932849412,199.6,0.3955468558845105,1.9057101198781201,176,0.28394808743169403,1.283771378223968,15,-0.3177434908389585,-1.3398737838803854,35550.0,0.5009565455042362,1.7966989890962475
35,jaguar,102.0,0.10824716267339253,0.5310831269077291,191.7,0.27763640812331636,1.3376279061151175,262,0.6422814207650274,2.903849475448634,13,-0.3765670202507232,-1.587923255251261,36000.0,0.5121369475018013,1.8367979101443708
36,mazda,93.1,-0.1655989911727615,-0.8124631433541786,159.1,-0.20893075605578804,-1.0066100899195494,68,-0.166051912568306,-0.7507453020116588,30,0.12343297974927679,0.5204972514011817,5195.0,-0.2532236825759646,-0.908196007383274
37,mazda,93.1,-0.1655989911727615,-0.8124631433541786,159.1,-0.20893075605578804,-1.0066100899195494,68,-0.166051912568306,-0.7507453020116588,31,0.15284474445515914,0.6445219870866196,6095.0,-0.23086287858083432,-0.8279981652870273
38,mazda,93.1,-0.1655989911727615,-0.8124631433541786,159.1,-0.20893075605578804,-1.0066100899195494,68,-0.166051912568306,-0.7507453020116588,31,0.15284474445515914,0.6445219870866196,6795.0,-0.2134711421401774,-0.7656220658788354
39,mazda,95.3,-0.09790668348045371,-0.48035058216584164,169.0,-0.0611695620259372,-0.29470959419122966,101,-0.028551912568305995,-0.12908742749521732,17,-0.2589199614271938,-1.0918243125095097,11845.0,-0.08800218638972397,-0.315623063005451
43,mazda,104.9,0.19747793190416194,0.9688678666559918,175.0,0.028382676780032947,0.13674525170472135,72,-0.14938524590163932,-0.6753928323733023,31,0.15284474445515914,0.6445219870866196,18344.0,0.07346766379288927,0.26349446564289064
44,mercedes-benz,110.0,0.3544010088272387,1.7387651675925893,190.9,0.26569610961585394,1.280100593328992,123,0.06311475409836068,0.28535115551574375,22,-0.11186113789778203,-0.4717006340823207,25552.0,0.2525528584561107,0.9057900721203866
45,mercedes-benz,110.0,0.3544010088272387,1.7387651675925893,190.9,0.26569610961585394,1.280100593328992,123,0.06311475409836068,0.28535115551574375,22,-0.11186113789778203,-0.4717006340823207,28248.0,0.3195358890904122,1.1460271635553658
46,mercedes-benz,120.9,0.6897856242118543,3.384231948025712,208.1,0.5224125275263015,2.5169378182307174,184,0.31728142076502736,1.4344763175006812,14,-0.34715525554484084,-1.4638985195658232,40960.0,0.6353698228527417,2.2787771288081307
47,mercedes-benz,112.0,0.4159394703657002,2.0406856777638045,199.2,0.38957670663077903,1.8769464634850563,184,0.31728142076502736,1.4344763175006812,14,-0.34715525554484084,-1.4638985195658232,45400.0,0.7456831225620513,2.674419816482948
49,mitsubishi,93.7,-0.14713745271122278,-0.7218869903028128,157.3,-0.23579642769757883,-1.1360465436883334,68,-0.166051912568306,-0.7507453020116588,37,0.32931533269045327,1.3886704011992463,5389.0,-0.24840368704812543,-0.8909089169758608
50,mitsubishi,93.7,-0.14713745271122278,-0.7218869903028128,157.3,-0.23579642769757883,-1.1360465436883334,68,-0.166051912568306,-0.7507453020116588,31,0.15284474445515914,0.6445219870866196,6189.0,-0.2285274168302318,-0.8196219462236416
51,mitsubishi,96.3,-0.06713745271122294,-0.32939032708023414,172.4,-0.0104232933692207,-0.050218514850190354,88,-0.08271857923497267,-0.37398295381987606,25,-0.02362584378013497,-0.09962642702600728,6989.0,-0.2086511466123382,-0.7483349754714222
52,mitsubishi,96.3,-0.06713745271122294,-0.32939032708023414,172.4,-0.0104232933692207,-0.050218514850190354,88,-0.08271857923497267,-0.37398295381987606,25,-0.02362584378013497,-0.09962642702600728,8189.0,-0.17883674128549779,-0.6414045193430933
53,nissan,94.5,-0.12252206809583824,-0.6011187862343272,165.3,-0.11639344262295195,-0.5607734158270653,55,-0.22021857923497265,-0.9956408283363176,45,0.5646094503375121,2.3808682866827486,7099.0,-0.20591815945737782,-0.7385330169929921
54,nissan,94.5,-0.12252206809583824,-0.6011187862343272,165.3,-0.11639344262295195,-0.5607734158270653,69,-0.16188524590163933,-0.7319071846020697,31,0.15284474445515914,0.6445219870866196,6649.0,-0.21709856145494297,-0.7786319380411154
55,nissan,94.5,-0.12252206809583824,-0.6011187862343272,165.3,-0.11639344262295195,-0.5607734158270653,69,-0.16188524590163933,-0.7319071846020697,31,0.15284474445515914,0.6445219870866196,6849.0,-0.2121294939004696,-0.7608101953530606
56,nissan,94.5,-0.12252206809583824,-0.6011187862343272,170.2,-0.04325911426474334,-0.20841862501204028,69,-0.16188524590163933,-0.7319071846020697,31,0.15284474445515914,0.6445219870866196,7349.0,-0.19970682501428608,-0.7162558386329235
57,nissan,100.4,0.05901639344262347,0.28954671877075794,184.6,0.17166625886958511,0.8270730051382426,152,0.183948087431694,0.8316565603938287,19,-0.2000964320154291,-0.8437748411386341,13499.0,-0.046907997714228926,-0.1682372509752376
61,porsche,89.5,-0.27636822194199206,-1.3559200616623648,168.9,-0.06266209933936995,-0.3019005082894951,207,0.4131147540983607,1.8677530179212312,17,-0.2589199614271938,-1.0918243125095097,34028.0,0.46314194141469356,1.6610755272401503
62,porsche,89.5,-0.27636822194199206,-1.3559200616623648,168.9,-0.06266209933936995,-0.3019005082894951,207,0.4131147540983607,1.8677530179212312,17,-0.2589199614271938,-1.0918243125095097,37028.0,0.5376779547317946,1.9284016675609728
63,porsche,98.4,-0.002522068095838064,-0.012373791400457065,175.7,0.03883043797406263,0.18708165039258148,288,0.7506147540983608,3.3936405280979516,17,-0.2589199614271938,-1.0918243125095097,,,
66,toyota,95.7,-0.08559899117276124,-0.41996648013159776,158.7,-0.21490090530951947,-1.0353737463126131,62,-0.191051912568306,-0.8637740064691937,35,0.27049180327868855,1.1406209298283707,5348.0,-0.24942234589679246,-0.8945623742269121
67,toyota,95.7,-0.08559899117276124,-0.41996648013159776,158.7,-0.21490090530951947,-1.0353737463126131,62,-0.191051912568306,-0.8637740064691937,31,0.15284474445515914,0.6445219870866196,6338.0,-0.22482546150214913,-0.8063447479210407
68,toyota,95.7,-0.08559899117276124,-0.41996648013159776,158.7,-0.21490090530951947,-1.0353737463126131,62,-0.191051912568306,-0.8637740064691937,31,0.15284474445515914,0.6445219870866196,6488.0,-0.22109866083629406,-0.7929784409049996
69,toyota,95.7,-0.08559899117276124,-0.41996648013159776,169.7,-0.05072180083190752,-0.24437319550336956,62,-0.191051912568306,-0.8637740064691937,31,0.15284474445515914,0.6445219870866196,6918.0,-0.21041516559417625,-0.7546616941256817
70,toyota,95.7,-0.08559899117276124,-0.41996648013159776,169.7,-0.05072180083190752,-0.24437319550336956,62,-0.191051912568306,-0.8637740064691937,27,0.035197685631629734,0.14842304434486833,7898.0,-0.1860667345772566,-0.667335154954213
71,toyota,95.7,-0.08559899117276124,-0.41996648013159776,169.7,-0.05072180083190752,-0.24437319550336956,62,-0.191051912568306,-0.8637740064691937,27,0.035197685631629734,0.14842304434486833,8778.0,-0.1642028373375736,-0.5889194871267718
79,toyota,104.5,0.18517023959646944,0.908483764621748,187.8,0.2194274528994361,1.057182256282751,156,0.20061475409836066,0.9070090300321852,19,-0.2000964320154291,-0.8437748411386341,15750.0,0.009018857611369226,0.03234646297881951
80,volkswagen,97.3,-0.03636822194199217,-0.17843007199462663,171.7,-0.020871054563250804,-0.10055491353805253,52,-0.23271857923497266,-1.052155180565085,37,0.32931533269045327,1.3886704011992463,7775.0,-0.1891227111232577,-0.6782955267073667
81,volkswagen,97.3,-0.03636822194199217,-0.17843007199462663,171.7,-0.020871054563250804,-0.10055491353805253,85,-0.09521857923497266,-0.4304973060486435,27,0.035197685631629734,0.14842304434486833,7975.0,-0.18415364356878433,-0.6604737840193119
82,volkswagen,97.3,-0.03636822194199217,-0.17843007199462663,171.7,-0.020871054563250804,-0.10055491353805253,52,-0.23271857923497266,-1.052155180565085,37,0.32931533269045327,1.3886704011992463,7995.0,-0.18365673681333697,-0.6586916097505064
86,volkswagen,97.3,-0.03636822194199217,-0.17843007199462663,171.7,-0.020871054563250804,-0.10055491353805253,100,-0.032718579234972664,-0.14792554490480644,26,0.005785920925747381,0.024398308659430525,9995.0,-0.13396606126860294,-0.4804741828699582
87,volvo,104.3,0.1790163934426232,0.878291713604626,188.8,0.23435282603376445,1.1290913972654095,114,0.02561475409836067,0.11580809882944149,23,-0.08244937319189968,-0.3476758983968829,12940.0,-0.06079654152898209,-0.2180490217883508
88,volvo,104.3,0.1790163934426232,0.878291713604626,188.8,0.23435282603376445,1.1290913972654095,114,0.02561475409836067,0.11580809882944149,23,-0.08244937319189968,-0.3476758983968829,13415.0,-0.04899500608710775,-0.1757223829042206
